px,py,yaw,continuous_lane_id
-59.86259,-147.3899,-1.544831,3.0
-59.60295,-157.3866,-1.544831,3.0
-59.3433,-167.3832,-1.544831,3.0
-59.08365,-177.3798,-1.544827,3.0
-58.82401,-187.3764,-1.544827,3.0
-58.56436,-197.3731,-1.544827,3.0
-58.30471,-207.3697,-1.544827,3.0
-58.04506,-217.3663,-1.544827,3.0
-57.78542,-227.3629,-1.544827,3.0
-57.52577,-237.3596,-1.544827,3.0
-57.26612,-247.3562,-1.544827,3.0
-57.00647,-257.3528,-1.544827,3.0
-56.74683,-267.3495,-1.544827,3.0
-56.48718,-277.3461,-1.544827,3.0
280.2339,-19.06367,-4.084996,3.0
274.0768,-10.90487,-4.042682,4.0
267.58,-3.013813,-4.000381,4.0
260.7553,4.595372,-3.958049,4.0
253.6148,11.90907,-3.915748,4.0
246.1714,18.91418,-3.873438,4.0
238.4383,25.59817,-3.831124,4.0
230.4294,31.94908,-3.788815,4.0
222.1853,37.94168,-3.754199,4.0
214.0038,43.69166,-3.75419,4.0
205.4686,49.4179,-3.697751,4.0
196.5252,54.61504,-3.631898,4.0
187.2591,59.21236,-3.566037,4.0
177.7105,63.18991,-3.500186,4.0
167.9209,66.53046,-3.43433,4.0
157.9327,69.21953,-3.36847,4.0
147.7892,71.24545,-3.302612,4.0
137.5343,72.59944,-3.236761,4.0
127.2125,73.27564,-3.170901,4.0
116.8686,73.27111,-3.10504,4.0
106.5475,72.58586,-3.03918,4.0
96.31459,71.24696,-2.978146,4.0
86.18475,69.28972,-2.917429,4.0
76.19234,66.72137,-2.856711,4.0
66.3742,63.5514,-2.795986,4.0
56.76653,59.79146,-2.735267,4.0
47.40472,55.45543,-2.674543,4.0
38.32329,50.55928,-2.613824,4.0
29.55572,45.12106,-2.553104,4.0
21.13431,39.16082,-2.492382,4.0
13.09011,32.70053,-2.43166,4.0
5.452764,25.76399,-2.370943,4.0
-1.725596,18.75805,-2.368062,4.0
-8.880083,11.7714,-2.367884,4.0
-16.05402,4.416214,-2.312778,4.0
-22.81519,-3.349785,-2.255978,4.0
-29.1246,-11.48708,-2.199182,4.0
-34.96191,-19.96942,-2.142383,4.0
-40.30828,-28.76945,-2.085583,4.0
-45.14647,-37.85879,-2.028787,4.0
-49.46088,-47.20812,-1.971988,4.0
-53.2376,-56.7873,-1.915188,4.0
-56.46444,-66.56542,-1.85839,4.0
-59.13099,-76.51096,-1.801593,4.0
-61.22866,-86.59184,-1.744795,4.0
-62.75068,-96.77553,-1.687996,4.0
-63.69215,-107.0292,-1.631197,4.0
-64.05001,-117.3198,-1.574405,4.0
-63.88071,-127.4875,-1.544831,4.0
-63.62106,-137.4842,-1.544831,4.0
-63.36141,-147.4808,-1.544831,4.0
-63.10176,-157.4774,-1.544831,4.0
-62.84212,-167.474,-1.544831,4.0
-62.58247,-177.4707,-1.544831,4.0
-62.32282,-187.4673,-1.544831,4.0
-62.06318,-197.4639,-1.544831,4.0
-61.80353,-207.4606,-1.544831,4.0
